operation_id,visit_id,operation_type,aircraft_category,start_time,end_time,pax,stand_id,stand_type,walking_distance,is_contact
V_M01858_M01903_TURN,V_M01858_M01903,turnaround,C,2026-03-12 05:25:00,2026-03-12 08:10:00,348,114,contato,155.0,1
V_M01859_M01907_TURN,V_M01859_M01907,turnaround,C,2026-03-12 05:30:00,2026-03-12 08:15:00,348,115,contato,160.0,1
V_M01871_M01910_TURN,V_M01871_M01910,turnaround,C,2026-03-12 06:35:00,2026-03-12 08:25:00,348,111,contato,140.0,1
V_M01872_M01908_TURN,V_M01872_M01908,turnaround,C,2026-03-12 06:45:00,2026-03-12 08:20:00,140,135,contato,325.0,1
V_M01873_M01913_TURN,V_M01873_M01913,turnaround,C,2026-03-12 06:50:00,2026-03-12 08:30:00,140,134,contato,320.0,1
V_M01875_M01894_TURN,V_M01875_M01894,turnaround,C,2026-03-12 06:55:00,2026-03-12 07:50:00,272,116,contato,230.0,1
V_M01874_M01893_TURN,V_M01874_M01893,turnaround,C,2026-03-12 06:55:00,2026-03-12 07:45:00,272,118,contato,240.0,1
V_M01878_M01905_TURN,V_M01878_M01905,turnaround,C,2026-03-12 07:00:00,2026-03-12 08:10:00,272,130,contato,300.0,1
V_M01876_M01902_TURN,V_M01876_M01902,turnaround,C,2026-03-12 07:00:00,2026-03-12 08:05:00,272,132,contato,310.0,1
V_M01879_M01919_TURN,V_M01879_M01919,turnaround,C,2026-03-12 07:05:00,2026-03-12 08:45:00,140,133,contato,315.0,1
V_M01883_M01896_TURN,V_M01883_M01896,turnaround,C,2026-03-12 07:10:00,2026-03-12 07:55:00,440,107,contato,120.0,1
V_M01882_M01895_TURN,V_M01882_M01895,turnaround,C,2026-03-12 07:10:00,2026-03-12 07:55:00,372,113,contato,150.0,1
V_M01881_M01911_TURN,V_M01881_M01911,turnaround,C,2026-03-12 07:10:00,2026-03-12 08:25:00,272,125,contato,275.0,1
V_M01880_M01909_TURN,V_M01880_M01909,turnaround,C,2026-03-12 07:10:00,2026-03-12 08:20:00,272,127,contato,285.0,1
V_M01885_M01915_TURN,V_M01885_M01915,turnaround,C,2026-03-12 07:15:00,2026-03-12 08:35:00,272,124,contato,270.0,1
V_M01884_M01912_TURN,V_M01884_M01912,turnaround,C,2026-03-12 07:15:00,2026-03-12 08:30:00,272,129,contato,295.0,1
V_M01888_M01916_TURN,V_M01888_M01916,turnaround,C,2026-03-12 07:20:00,2026-03-12 08:40:00,348,109,contato,130.0,1
V_M01887_M01897_TURN,V_M01887_M01897,turnaround,C,2026-03-12 07:20:00,2026-03-12 08:00:00,352,110,contato,135.0,1
V_M01889_M01918_TURN,V_M01889_M01918,turnaround,C,2026-03-12 07:20:00,2026-03-12 08:45:00,272,131,contato,305.0,1
V_M01890_M01921_TURN,V_M01890_M01921,turnaround,C,2026-03-12 07:25:00,2026-03-12 09:00:00,348,121,contato,255.0,1
V_M01891_M01926_TURN,V_M01891_M01926,turnaround,C,2026-03-12 07:30:00,2026-03-12 09:15:00,272,128,contato,290.0,1
V_M01892_M01925_TURN,V_M01892_M01925,turnaround,C,2026-03-12 07:45:00,2026-03-12 09:15:00,372,108,contato,125.0,1
V_M01900_M01971_ARR,V_M01900_M01971,arrival,D,2026-03-12 08:05:00,2026-03-12 08:50:00,267,117,contato,235.0,1
V_M01904_M01931_TURN,V_M01904_M01931,turnaround,C,2026-03-12 08:10:00,2026-03-12 09:35:00,236,113,contato,150.0,1
V_M01914_M01940_TURN,V_M01914_M01940,turnaround,C,2026-03-12 08:35:00,2026-03-12 10:30:00,372,110,contato,135.0,1
V_M01917_M01928_TURN,V_M01917_M01928,turnaround,C,2026-03-12 08:45:00,2026-03-12 09:25:00,352,107,contato,120.0,1
V_M01900_M01971_PARK,V_M01900_M01971,parking,D,2026-03-12 08:50:00,2026-03-12 11:40:00,0,123,contato,265.0,1
V_M01922_M01932_TURN,V_M01922_M01932,turnaround,C,2026-03-12 09:05:00,2026-03-12 09:45:00,272,109,contato,130.0,1
V_M01927_M01934_TURN,V_M01927_M01934,turnaround,C,2026-03-12 09:25:00,2026-03-12 09:55:00,348,112,contato,145.0,1
V_M01929_M01937_TURN,V_M01929_M01937,turnaround,C,2026-03-12 09:30:00,2026-03-12 10:15:00,440,108,contato,125.0,1
V_M01930_M01942_TURN,V_M01930_M01942,turnaround,C,2026-03-12 09:35:00,2026-03-12 10:40:00,372,111,contato,140.0,1
V_M01933_M01941_TURN,V_M01933_M01941,turnaround,C,2026-03-12 09:50:00,2026-03-12 10:35:00,352,107,contato,120.0,1
V_M01935_M01949_TURN,V_M01935_M01949,turnaround,C,2026-03-12 10:00:00,2026-03-12 11:15:00,372,109,contato,130.0,1
V_M01938_M01953_TURN,V_M01938_M01953,turnaround,C,2026-03-12 10:30:00,2026-03-12 11:30:00,372,108,contato,125.0,1
V_M01943_M01948_TURN,V_M01943_M01948,turnaround,C,2026-03-12 10:40:00,2026-03-12 11:15:00,140,112,contato,145.0,1
V_M01944_M01956_TURN,V_M01944_M01956,turnaround,C,2026-03-12 10:55:00,2026-03-12 11:40:00,272,107,contato,120.0,1
V_M01946_M01959_TURN,V_M01946_M01959,turnaround,C,2026-03-12 11:10:00,2026-03-12 11:55:00,272,111,contato,140.0,1
V_M01947_M01962_TURN,V_M01947_M01962,turnaround,C,2026-03-12 11:15:00,2026-03-12 12:00:00,272,110,contato,135.0,1
V_M01950_M01970_TURN,V_M01950_M01970,turnaround,C,2026-03-12 11:20:00,2026-03-12 12:25:00,272,114,contato,155.0,1
V_M01951_M01994_TURN,V_M01951_M01994,turnaround,C,2026-03-12 11:20:00,2026-03-12 13:55:00,236,121,contato,255.0,1
V_M01952_M01973_TURN,V_M01952_M01973,turnaround,C,2026-03-12 11:25:00,2026-03-12 12:40:00,272,116,contato,230.0,1
V_M01954_M01974_TURN,V_M01954_M01974,turnaround,C,2026-03-12 11:30:00,2026-03-12 12:40:00,272,109,contato,130.0,1
V_M01955_M01979_TURN,V_M01955_M01979,turnaround,C,2026-03-12 11:40:00,2026-03-12 12:55:00,348,112,contato,145.0,1
V_M01900_M01971_DEP,V_M01900_M01971,departure,D,2026-03-12 11:40:00,2026-03-12 12:25:00,267,126,contato,280.0,1
V_M01957_M01976_TURN,V_M01957_M01976,turnaround,C,2026-03-12 11:45:00,2026-03-12 12:50:00,272,113,contato,150.0,1
V_M01958_M01977_TURN,V_M01958_M01977,turnaround,C,2026-03-12 11:55:00,2026-03-12 12:50:00,272,119,contato,245.0,1
V_M01960_M01978_TURN,V_M01960_M01978,turnaround,C,2026-03-12 12:00:00,2026-03-12 12:55:00,272,108,contato,125.0,1
V_M01961_M01980_TURN,V_M01961_M01980,turnaround,C,2026-03-12 12:00:00,2026-03-12 13:00:00,272,115,contato,160.0,1
V_M01964_M01996_TURN,V_M01964_M01996,turnaround,C,2026-03-12 12:05:00,2026-03-12 14:00:00,272,118,contato,240.0,1
V_M01963_M01975_TURN,V_M01963_M01975,turnaround,C,2026-03-12 12:05:00,2026-03-12 12:45:00,140,122,contato,260.0,1
V_M01965_M01984_TURN,V_M01965_M01984,turnaround,C,2026-03-12 12:10:00,2026-03-12 13:05:00,348,111,contato,140.0,1
V_M01966_M01988_TURN,V_M01966_M01988,turnaround,C,2026-03-12 12:15:00,2026-03-12 13:15:00,140,124,contato,270.0,1
V_M01969_M01986_TURN,V_M01969_M01986,turnaround,C,2026-03-12 12:25:00,2026-03-12 13:10:00,352,107,contato,120.0,1
V_M01968_M01982_TURN,V_M01968_M01982,turnaround,C,2026-03-12 12:25:00,2026-03-12 13:05:00,352,110,contato,135.0,1
V_M01972_M01991_TURN,V_M01972_M01991,turnaround,A,2026-03-12 12:35:00,2026-03-12 13:25:00,18,128,contato,290.0,1
V_M01981_M02006_TURN,V_M01981_M02006,turnaround,C,2026-03-12 13:00:00,2026-03-12 14:40:00,348,109,contato,130.0,1
V_M01983_M01995_TURN,V_M01983_M01995,turnaround,A,2026-03-12 13:05:00,2026-03-12 14:00:00,18,113,contato,150.0,1
V_M01985_M01997_TURN,V_M01985_M01997,turnaround,C,2026-03-12 13:10:00,2026-03-12 14:05:00,272,108,contato,125.0,1
V_M01987_M01999_TURN,V_M01987_M01999,turnaround,C,2026-03-12 13:15:00,2026-03-12 14:10:00,140,112,contato,145.0,1
V_M01990_M02049_ARR,V_M01990_M02049,arrival,C,2026-03-12 13:20:00,2026-03-12 14:05:00,118,110,contato,135.0,1
V_M01989_M02008_TURN,V_M01989_M02008,turnaround,C,2026-03-12 13:20:00,2026-03-12 14:50:00,348,111,contato,140.0,1
V_M01992_M02001_TURN,V_M01992_M02001,turnaround,C,2026-03-12 13:40:00,2026-03-12 14:25:00,272,107,contato,120.0,1
V_M01993_M02010_TURN,V_M01993_M02010,turnaround,C,2026-03-12 13:55:00,2026-03-12 14:55:00,348,114,contato,155.0,1
V_M01990_M02049_PARK,V_M01990_M02049,parking,C,2026-03-12 14:05:00,2026-03-12 16:35:00,0,229,estacionamento,785.0,0
V_M01998_M02012_TURN,V_M01998_M02012,turnaround,C,2026-03-12 14:10:00,2026-03-12 15:05:00,348,115,contato,160.0,1
V_M02000_M02013_TURN,V_M02000_M02013,turnaround,C,2026-03-12 14:15:00,2026-03-12 15:10:00,348,113,contato,150.0,1
V_M02003_M02016_TURN,V_M02003_M02016,turnaround,C,2026-03-12 14:25:00,2026-03-12 15:25:00,352,108,contato,125.0,1
V_M02002_M02021_TURN,V_M02002_M02021,turnaround,C,2026-03-12 14:25:00,2026-03-12 15:45:00,272,112,contato,145.0,1
